time,ax,ay,az,aT
8.7640,-0.8624,-1.1187,2.7335,3.077
8.7830,-0.6274,-0.8862,1.5344,1.880
8.8030,-0.2577,-0.8660,-2.1886,2.368
8.8250,-2.2301,-0.2315,-3.6614,4.293
8.8430,-2.3981,-0.1015,-2.7279,3.634
8.8660,-2.1584,-0.4975,-3.2064,3.897
8.8810,-4.0374,-0.4680,-1.3446,4.281
8.9010,-3.8370,-0.4880,-0.8905,3.969
8.9200,-1.0202,-0.8476,0.0600,1.328
8.9390,1.3584,-1.3693,0.8854,2.122
8.9590,-1.4803,-0.2839,1.8332,2.373
8.9840,-1.9409,0.3923,1.2392,2.336
9.0000,-1.2210,-0.3187,1.2160,1.752
9.0160,-1.1375,0.5331,0.8554,1.520
9.0360,-0.7835,2.3916,0.7429,2.624
9.0550,0.5465,2.8477,-0.1341,2.903
9.0750,1.5885,3.2510,0.8744,3.723
9.0970,1.9958,3.6239,0.9650,4.248
9.1160,1.6700,4.0094,0.0331,4.343
9.1320,1.6410,3.4929,1.9478,4.323
9.1520,0.6733,2.2436,3.7510,4.422
9.1710,1.0252,0.2842,2.5365,2.751
9.1910,2.4816,-0.2941,2.4498,3.499
9.2110,1.4531,0.7869,1.8328,2.468
9.2390,1.5785,0.9345,0.8161,2.008
9.2490,0.7334,0.7126,0.0573,1.024
9.2690,0.0065,0.7652,-1.7892,1.946
9.2880,0.1259,0.7705,-1.6937,1.865
9.3090,-0.0634,2.0711,-0.2940,2.093
9.3340,-0.5711,1.7074,0.0732,1.802
9.3460,-1.8830,2.1120,-0.9103,2.972
9.3650,-2.9289,3.0589,-2.2796,4.810
9.3850,-2.8843,2.5259,-3.8257,5.416
9.4040,-2.8123,2.6217,-2.6782,4.686
9.4250,-2.6402,2.7440,-1.2799,4.017
9.4430,-2.4511,2.6963,-0.4326,3.669
9.4650,-2.8236,2.1118,-1.4236,3.802
9.4840,-2.6851,0.6175,-2.9226,4.016
9.5010,-2.6107,-0.2633,-3.1629,4.110
9.5200,-2.2295,-1.1092,-2.0363,3.217
9.5390,-1.8000,-1.3256,-0.6150,2.318
9.5590,-0.9970,-1.7396,0.1984,2.015
9.5790,-1.3346,-1.4151,-0.6575,2.053
9.5990,-1.1938,-1.7798,-1.9027,2.866
9.6170,0.1669,-1.2368,-2.9538,3.207
9.6360,0.7293,-0.9973,-3.3978,3.615
9.6560,1.3269,-1.7815,-2.1739,3.108
9.6750,1.2985,-2.6203,-1.2696,3.188
9.6950,1.3568,-4.1429,0.0799,4.360
9.7140,1.1753,-3.8198,0.5833,4.039
9.7340,1.5740,-3.6170,0.4971,3.976
9.7530,1.4784,-2.5188,-0.2637,2.933
9.7720,1.5914,-2.3887,-1.3604,3.176
