time,ax,ay,az,aT
4.8440,0.5442,2.3091,-0.5286,2.431
4.8640,0.5636,1.6674,0.6199,1.866
4.8840,0.3614,0.4783,1.9040,1.996
4.9290,0.2361,-0.4673,2.9543,3.000
4.9290,0.2322,-0.8964,3.4715,3.593
4.9400,-0.0161,-1.0475,1.9853,2.245
4.9600,-0.1129,-0.8807,2.0688,2.251
4.9790,0.0087,-0.5803,3.0104,3.066
4.9990,-0.0509,0.0073,3.0141,3.015
5.0180,-0.2863,0.1342,3.3527,3.368
5.0370,-0.4430,-0.1615,3.7744,3.804
5.0570,-0.2587,-0.4508,2.8475,2.895
5.0760,0.2631,-0.7082,1.0341,1.281
5.0960,0.9768,-1.1983,0.1438,1.553
5.1150,1.4038,-1.5879,-0.4790,2.173
5.1350,0.1042,-0.9754,-1.5687,1.850
5.1760,-1.2056,-0.1240,-4.8776,5.026
5.1770,-2.4942,2.0701,-7.5749,8.239
5.1920,-3.3738,3.2578,-4.5531,6.537
5.2120,-2.8903,1.9604,-1.8844,3.968
5.2320,-2.1654,-0.2431,-0.9723,2.386
5.2510,-1.5085,-0.8341,-1.1150,2.053
5.2700,-0.9822,-0.2139,-0.5032,1.124
5.3080,-0.3305,-0.4205,1.3298,1.433
5.3090,0.3795,-0.7569,2.2606,2.414
5.3280,0.0869,-0.5210,2.4487,2.505
5.3500,0.0064,-0.2808,1.1765,1.210
5.3850,-0.2593,0.3529,0.8772,0.980
5.3870,-0.5462,0.6380,2.1677,2.325
5.4050,-0.1382,0.3178,3.6872,3.703
5.4250,0.3040,0.4169,3.6299,3.666
5.4450,0.7224,-0.0326,2.1901,2.306
5.4640,1.2559,-1.0345,1.0057,1.913
5.4830,1.6584,-1.7870,-0.2280,2.449
5.5050,-0.2826,-0.9265,-3.2606,3.401
5.5460,-2.0546,0.5413,-6.3091,6.657
5.5460,-2.0655,1.0565,-7.1778,7.543
5.5600,-0.7204,0.8068,-4.0753,4.216
5.5800,0.0753,0.2083,0.0997,0.243
5.6000,1.0212,-0.4981,0.6838,1.326
5.6190,1.4186,-0.5041,-1.0847,1.856
5.6380,1.2013,0.1846,-1.6709,2.066
5.6580,1.2681,0.2335,-0.7142,1.474
5.7000,1.2240,0.6258,0.6201,1.508
5.7000,1.2019,0.3991,0.8193,1.508
5.7160,0.9192,0.5707,1.3089,1.698
5.7350,0.0204,0.6960,1.9265,2.048
5.7550,-0.5199,0.6437,1.7320,1.920
5.7740,-0.6556,0.6620,1.9009,2.117
5.7940,-0.5279,0.1528,2.2245,2.291
5.8350,0.0267,-0.3956,2.6023,2.632
5.8350,0.7719,-0.5071,1.7857,2.010
5.8510,1.2829,-0.2487,-0.0085,1.307
5.8720,0.8648,0.3588,-2.0493,2.253
5.8910,-0.5299,1.6556,-2.0985,2.725
5.9340,-0.3709,1.2478,-1.5712,2.040
5.9340,-0.6080,0.6983,-4.2352,4.335
5.9480,-2.7308,1.7671,-5.7804,6.633
5.9680,-3.5089,2.1280,-4.2364,5.898
5.9880,-1.6926,0.1590,-0.7257,1.848
6.0080,-0.5007,-1.7631,1.9644,2.687
6.0490,-0.0229,-2.1665,2.5465,3.344
6.0500,0.3298,-1.3799,0.5345,1.516
6.0650,-1.1532,-0.1187,-1.9511,2.270
6.0850,-1.2241,1.0779,1.1121,1.974
6.1040,-1.8037,0.9584,1.6776,2.643
6.1240,-1.6599,1.7102,2.5452,3.487
6.1430,-1.8289,1.4335,3.4589,4.167
6.1870,-0.6474,0.8138,3.1868,3.352
6.1870,0.5253,-0.2237,2.0338,2.112
6.2000,2.3719,-0.8408,1.8226,3.107
6.2210,3.6127,-1.4132,0.9082,3.984
6.2400,2.6995,-0.9745,-1.7065,3.339
6.2600,1.3325,-1.0257,-3.7735,4.131
6.2790,1.2706,-1.3819,-5.2963,5.619
6.3230,0.0337,-0.5536,-7.2906,7.312
6.3240,-1.5185,1.2814,-5.9362,6.260
6.3370,-1.2806,1.6517,-2.8328,3.520
6.3560,-0.5998,0.9573,0.6926,1.325
6.3760,-0.1251,-0.3764,3.1330,3.158
6.3950,-0.1145,-1.0984,4.3321,4.471
6.4160,-0.2967,-1.8187,3.6216,4.063
6.4510,-0.7880,-1.3330,2.0855,2.597
6.4530,-1.2318,-0.2873,1.2960,1.811
6.4730,-1.5154,0.2062,2.1913,2.672
6.4930,-1.2388,0.1562,3.3550,3.580
6.5120,-1.0222,0.6670,4.7286,4.884
6.5320,-0.8088,1.4222,4.8539,5.122
6.5500,-0.4357,0.8438,3.4547,3.583
6.5700,0.1928,-0.5926,2.2734,2.357
6.5980,0.5126,-1.4396,1.4294,2.092
6.6080,-0.0131,-1.7649,0.0187,1.765
6.6270,-1.0643,-0.8746,-1.8098,2.274
6.6480,-1.9736,0.2011,-3.0368,3.627
6.6670,-2.0834,0.1580,-4.6006,5.053
6.6860,-2.3082,0.9429,-6.3858,6.855
6.7060,-3.1252,2.0901,-5.4481,6.619
6.7430,-3.1437,1.5672,-2.8686,4.535
6.7440,-2.4520,-0.4104,-0.8834,2.638
6.7630,-1.8921,-1.7231,0.7560,2.669
6.7830,-1.5874,-2.3602,0.0253,2.844
6.8020,-1.1652,-2.2390,0.0695,2.525
6.8220,-0.8274,-1.8355,0.3365,2.041
6.8420,-0.4151,-1.2295,0.9384,1.601
6.8760,0.0101,-0.6014,1.3682,1.495
6.8800,0.0398,-0.1642,1.0722,1.085
6.9000,-0.1927,-0.1914,1.1059,1.139
6.9180,-0.5856,-0.4717,0.7828,1.085
6.9380,-0.1069,-0.6419,-0.1109,0.660
6.9570,0.5819,-0.2509,0.2519,0.682
6.9770,0.8959,-0.4003,0.9158,1.342
7.0070,2.4066,-1.6811,-0.6127,2.999
7.0150,3.6533,-2.5016,-3.3680,5.563
7.0350,2.7899,-0.9779,-6.1678,6.840
7.0540,1.8995,0.4020,-7.9840,8.217
7.0750,1.7731,0.7266,-8.4212,8.636
